chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'chr5'	6428000	8035000	1601	9.30168114359646e-09	5.442285007588629e-09	1.4412159473002936e-08
b'chr5'	8035000	9642000	1745	1.1054564582923512e-08	6.458036802303149e-09	1.7324139619833675e-08
b'chr5'	9642000	10000000	483	4.156316317356947e-09	1.488463312178702e-09	7.519980775435064e-09
b'chr6'	0	1506000	1735	8.805525492487791e-09	4.7657504446728495e-09	1.4336590587309277e-08
b'chr6'	1506000	3012000	1676	8.848693771355924e-09	4.808918723540982e-09	1.437975886617741e-08
b'chr6'	3012000	4518000	1747	1.1852442726164133e-08	7.647261256456635e-09	1.808457913310033e-08
b'chr6'	4518000	6024000	1585	8.717719876173844e-09	5.1458361984517455e-09	1.3491497116348425e-08
b'chr6'	6024000	7530000	1427	7.800906062046956e-09	4.201470023931656e-09	1.2401678735993051e-08
b'chr6'	7530000	9036000	1302	9.626291543787841e-09	5.76689540778001e-09	1.4736769873194317e-08
b'chr6'	9036000	10000000	967	9.491443837141582e-09	5.632047701133751e-09	1.4601922166548057e-08
b'chr7'	0	1669000	1417	6.114857575129093e-09	2.9494389812201403e-09	1.0081591161176247e-08
b'chr7'	1669000	3338000	1368	9.823095472274347e-09	6.2728810831379616e-09	1.548401542729384e-08
b'chr7'	3338000	5007000	1714	8.479137910620733e-09	4.9072542328986344e-09	1.3252915150795314e-08
b'chr7'	5007000	6676000	1432	1.3167364208151566e-08	8.108179758999468e-09	2.017146333106079e-08
b'chr7'	6676000	8345000	1755	1.1535147339067541e-08	7.329965869360043e-09	1.7767283746003738e-08
b'chr7'	8345000	10000000	1619	1.227486259248513e-08	7.499708209466343e-09	1.8920035670952924e-08
b'chr8'	0	1750000	1693	9.889957408411203e-09	6.339743019274818e-09	1.5550877363430698e-08
b'chr8'	1750000	3500000	1672	9.080369743644587e-09	5.040594695829645e-09	1.4611434838466073e-08
b'chr8'	3500000	5250000	1615	1.2090490112833198e-08	7.315335729814411e-09	1.873566319130099e-08
b'chr8'	5250000	7000000	1749	1.1584007745897179e-08	7.378826276189681e-09	1.7816144152833376e-08
b'chr8'	7000000	8750000	1645	1.2542069980411413e-08	7.794702281457406e-09	1.931500170698442e-08
b'chr8'	8750000	10000000	956	3.807537314994164e-09	1.353659769389054e-09	7.005770904068725e-09
b'chr9'	0	1628000	1462	1.3023250300832768e-08	7.96406585168067e-09	2.0027349423741993e-08
b'chr9'	1628000	3256000	1635	1.0894753377686633e-08	6.647553319370607e-09	1.6989044982383507e-08
b'chr9'	3256000	4884000	1394	9.852210388584673e-09	6.301995999448287e-09	1.5513130343604166e-08
b'chr9'	4884000	6512000	1751	1.1298716048101899e-08	6.702188267481536e-09	1.7568291085012064e-08
b'chr9'	6512000	8140000	1554	9.238648776055478e-09	5.198873728240537e-09	1.4769713870876965e-08
b'chr9'	8140000	9768000	1651	1.3937050349737603e-08	8.828515154873286e-09	2.1943802455508998e-08
b'chr9'	9768000	10000000	244	6.934021018234379e-09	3.6384369903385085e-09	1.1274711314324011e-08
b'chr10'	0	1531000	1311	6.092838659357493e-09	2.861697882197358e-09	9.902884715786921e-09
b'chr10'	1531000	3062000	1087	9.205431869971956e-09	5.3460357339641254e-09	1.4315910199378432e-08
b'chr10'	3062000	4593000	1757	6.73251937794563e-09	3.4369353500497596e-09	1.1073209674035262e-08
b'chr10'	4593000	6124000	1170	9.68490420314402e-09	6.134689814007635e-09	1.5345824158163515e-08
b'chr10'	6124000	7655000	1711	1.3085157431282925e-08	8.025972982130827e-09	2.008925655419215e-08
b'chr10'	7655000	9186000	1230	8.585802831537763e-09	5.013919153815664e-09	1.3359580071712344e-08
b'chr10'	9186000	10000000	690	2.9706743352001107e-09	4.459647382596e-10	6.024551486360232e-09
b'chr11'	0	1658000	1413	1.9153798751839446e-08	1.2610454840692142e-08	2.8517997768043548e-08
b'chr11'	1658000	3316000	1750	1.4795811797920518e-08	9.524543842456009e-09	2.2419178402568205e-08
b'chr11'	3316000	4974000	1534	1.406236331517755e-08	8.953828120313233e-09	2.2069115420948942e-08
b'chr11'	4974000	6632000	1371	2.0358004136860908e-08	1.338069576134999e-08	2.941935260842272e-08
b'chr11'	6632000	8290000	1622	1.5838138353889075e-08	1.032150995535046e-08	2.4676829865914395e-08
b'chr11'	8290000	9948000	1692	2.2048052931243487e-08	1.4785619965128202e-08	3.1647128332455555e-08
b'chr12'	0	1738000	1535	7.032928157162978e-09	3.2727823180251157e-09	1.1658853910728218e-08
b'chr12'	1738000	3476000	1503	1.0110862590305377e-08	5.753304853438298e-09	1.6089943820428406e-08
b'chr12'	3476000	5214000	1424	7.038140236981551e-09	3.742556209085681e-09	1.1378830533071183e-08
b'chr12'	5214000	6952000	1703	1.066088794630615e-08	6.413687887990125e-09	1.6755179551003026e-08
b'chr12'	6952000	8690000	1751	1.0161990845226577e-08	5.804433108359498e-09	1.6141072075349604e-08
b'chr12'	8690000	10000000	1362	1.0836089689116913e-08	6.588889630800887e-09	1.693038129381379e-08
b'chr13'	0	1697000	1750	1.9049172823581834e-08	1.2696388214106086e-08	2.8415152015792548e-08
b'chr13'	1697000	3394000	1535	1.3456607837197002e-08	8.774464186627488e-09	2.062767930716609e-08
b'chr13'	3394000	5091000	1518	1.2695703882491027e-08	7.948336183537019e-09	1.946863560906403e-08
b'chr13'	5091000	6788000	1633	1.3263187387114102e-08	8.204002937962004e-09	2.0267286510023327e-08
b'chr13'	6788000	8485000	1560	1.243773087396016e-08	7.662576490941373e-09	1.9082903952427952e-08
b'chr13'	8485000	10000000	1602	1.3363335017176584e-08	8.68119136660707e-09	2.0534406487145672e-08
b'chr14'	0	1526000	1429	1.0679653962393037e-08	6.432453904077011e-09	1.6773945567089912e-08
b'chr14'	1526000	3052000	1520	6.03372869677934e-09	2.8025879196192047e-09	9.843774753208768e-09
b'chr14'	3052000	4578000	1291	8.954689669324657e-09	4.914914621509716e-09	1.4485754764146144e-08
b'chr14'	4578000	6104000	1745	1.0802625347513941e-08	6.555425289197916e-09	1.6896916952210817e-08
b'chr14'	6104000	7630000	1351	1.0664073954662025e-08	6.416873896345999e-09	1.67583655593589e-08
b'chr14'	7630000	9156000	1371	7.533008162847545e-09	3.9335721247322445e-09	1.213378083679364e-08
b'chr14'	9156000	10000000	935	4.561778305312827e-09	1.8046457386130886e-09	7.893381720681359e-09
b'chr15'	0	1581000	1750	1.3684796663190186e-08	9.002653012620672e-09	2.0855868133159273e-08
b'chr15'	1581000	3162000	1411	1.0825122990440057e-08	6.577922932124032e-09	1.6919414595136933e-08
b'chr15'	3162000	4743000	1645	1.3248562793825497e-08	8.189378344673399e-09	2.0252661916734723e-08
b'chr15'	4743000	6324000	1517	1.2901575826786812e-08	7.842391377634714e-09	1.9905674949696035e-08
b'chr15'	6324000	7905000	1677	1.2379202231786036e-08	7.604047848767249e-09	1.9024375310253828e-08
b'chr15'	7905000	9486000	1588	6.9304248383906934e-09	3.170278999252831e-09	1.1556350591955934e-08
b'chr15'	9486000	10000000	589	6.65437873939037e-09	3.3587947114944997e-09	1.0995069035480002e-08
b'chr16'	0	1290000	835	8.859617006825001e-09	4.8198419590100594e-09	1.4390682101646487e-08
b'chr16'	1290000	2580000	1276	5.359745847914479e-09	2.2935460205415947e-09	9.407228174988672e-09
b'chr16'	2580000	3870000	1669	1.441146476089376e-08	8.957227587874465e-09	2.2392454496650098e-08
b'chr16'	3870000	5160000	1753	1.0758632819955445e-08	6.51143276163942e-09	1.685292442465232e-08
b'chr16'	5160000	6450000	1281	6.689130678523767e-09	3.393546650627897e-09	1.10298209746134e-08
b'chr16'	6450000	7740000	1691	9.853114578532197e-09	6.302900189395812e-09	1.551403453355169e-08
b'chr16'	7740000	9030000	1223	8.441129335418822e-09	4.869245657696724e-09	1.3214906575593404e-08
b'chr16'	9030000	10000000	920	5.554332181394252e-09	2.4881323540213676e-09	9.601814508468444e-09
b'chr17'	0	1638000	1431	1.4998467109595515e-08	9.045795243057376e-09	2.3150325409094338e-08
b'chr17'	1638000	3276000	1748	1.509611151851847e-08	9.82484356305396e-09	2.2719478123166154e-08
b'chr17'	3276000	4914000	1452	1.3393967265115588e-08	8.711823614546074e-09	2.0565038735084677e-08
b'chr17'	4914000	6552000	1692	8.115687108461157e-09	4.4718396180523545e-09	1.3026477926896529e-08
b'chr17'	6552000	8190000	1472	2.0179949279703577e-08	1.2754476665139632e-08	2.8868091396556335e-08
b'chr17'	8190000	9828000	1596	1.2389398477932602e-08	7.642030778978594e-09	1.9162330204505606e-08
b'chr17'	9828000	10000000	107	6.3391758472439016e-09	3.1737572533349486e-09	1.0305909433291056e-08
b'chr18'	0	1802000	1650	1.0794760059163534e-08	6.547560000847508e-09	1.688905166386041e-08
b'chr18'	1802000	3604000	1718	7.170925394115724e-09	3.410779554977861e-09	1.1796851147680964e-08
b'chr18'	3604000	5406000	1444	1.038422909239772e-08	6.026671355530641e-09	1.636331032252075e-08
b'chr18'	5406000	7208000	1749	7.541601459928235e-09	3.942165421812935e-09	1.214237413387433e-08
b'chr18'	7208000	9010000	1748	9.2217027817943e-09	5.1819277339793584e-09	1.4752767876615786e-08
b'chr18'	9010000	10000000	1148	5.239118371498748e-09	2.1729185441258637e-09	9.28660069857294e-09
b'chr19'	0	1611000	1370	1.2865866920953588e-08	7.80668247180149e-09	1.9869966043862815e-08
b'chr19'	1611000	3222000	1636	1.103120767076326e-08	6.784007612447234e-09	1.7125499275460137e-08
b'chr19'	3222000	4833000	1403	7.74189233942888e-09	4.14245630131358e-09	1.2342665013374975e-08
b'chr19'	4833000	6444000	1369	1.2094286934484095e-08	7.319132551465308e-09	1.873946001295189e-08
b'chr19'	6444000	8055000	1646	1.1756184915123815e-08	7.551003445416317e-09	1.7988321322060014e-08
b'chr19'	8055000	9666000	1745	1.4822526924258525e-08	9.551258968794016e-09	2.244589352890621e-08
b'chr19'	9666000	10000000	437	8.073686127173349e-09	4.4298386367645465e-09	1.2984476945608721e-08
b'chr20'	0	1895000	1750	1.0220454744870378e-08	6.670240355733993e-09	1.5881374699889873e-08
b'chr20'	1895000	3790000	1498	8.303278970003506e-09	4.659431479594703e-09	1.3214069788438878e-08
b'chr20'	3790000	5685000	1484	1.0047511536606655e-08	6.497297147470269e-09	1.5708431491626147e-08
b'chr20'	5685000	7580000	1369	5.9881606279388874e-09	2.757019850778752e-09	9.798206684368315e-09
b'chr20'	7580000	9475000	1396	9.978144256992878e-09	6.427929867856492e-09	1.5639064212012372e-08
b'chr20'	9475000	10000000	549	6.446866810315979e-09	3.281448216407026e-09	1.0413600396363133e-08
