chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'chr9'	5744000	8616000	1616	1.124780978892219e-08	7.086393843752469e-09	1.9216434260310543e-08
b'chr9'	8616000	10000000	803	1.0342664985535595e-08	6.2810103728940765e-09	1.7468149054983502e-08
b'chr10'	0	2693000	1586	6.739457274504406e-09	3.6446411378093615e-09	1.2503474338151891e-08
b'chr10'	2693000	5386000	1750	7.323369179403846e-09	4.292528267826276e-09	1.3369891706518309e-08
b'chr10'	5386000	8079000	1630	1.0556686358050553e-08	6.495031745409035e-09	1.768217042749846e-08
b'chr10'	8079000	10000000	1060	5.2788740629990325e-09	2.7399652464806175e-09	9.630851041788229e-09
b'chr11'	0	2719000	1651	8.85961356700648e-09	5.240832558820902e-09	1.5628529794535095e-08
b'chr11'	2719000	5438000	1740	1.1981365745556554e-08	7.564910921482177e-09	2.131040737364878e-08
b'chr11'	5438000	8157000	1751	1.2618865807953647e-08	7.947594593668747e-09	2.193281337671012e-08
b'chr11'	8157000	10000000	1088	9.734920903363242e-09	6.328769053902217e-09	1.7238264627487774e-08
b'chr12'	0	2729000	1750	9.351887414502343e-09	5.9457355650413174e-09	1.6855231138626876e-08
b'chr12'	2729000	5458000	1628	9.105742608138769e-09	5.48696159995319e-09	1.587465883566738e-08
b'chr12'	5458000	8187000	1581	5.69240526764361e-09	2.895381632717433e-09	1.0321327291107708e-08
b'chr12'	8187000	10000000	1108	7.60615822221371e-09	4.350825463302388e-09	1.3319636845761692e-08
b'chr13'	0	2889000	1729	1.6016179014079498e-08	9.700889567134126e-09	2.695313275673685e-08
b'chr13'	2889000	5778000	1749	7.719022859268796e-09	4.463690100357474e-09	1.3432501482816779e-08
b'chr13'	5778000	8667000	1626	8.234072300813527e-09	5.010150859893319e-09	1.4357563659236463e-08
b'chr13'	8667000	10000000	722	8.407746992138178e-09	4.872904751000752e-09	1.5499748200657783e-08
b'chr14'	0	2909000	1612	6.847941441118433e-09	3.753125304423388e-09	1.2611958504765918e-08
b'chr14'	2909000	5818000	1751	1.0515137083672154e-08	6.453482471030635e-09	1.764062115312006e-08
b'chr14'	5818000	8727000	1678	4.5472659991877605e-09	2.1570000140461785e-09	8.712335222037852e-09
b'chr14'	8727000	10000000	721	5.324541476314403e-09	2.7856326597959878e-09	9.6765184551036e-09
b'chr15'	0	2732000	1686	8.407298389743612e-09	4.872456148606186e-09	1.5499299598263217e-08
b'chr15'	2732000	5464000	1540	1.358720381376814e-08	7.999166825077437e-09	2.3312944559859698e-08
b'chr15'	5464000	8196000	1750	1.2706181840122339e-08	8.03491062583744e-09	2.202012940887881e-08
b'chr15'	8196000	10000000	1112	9.342674766710815e-09	5.936522917249789e-09	1.6846018490835347e-08
b'chr16'	0	2883000	1632	5.818423734081238e-09	3.021400099155061e-09	1.0447345757545336e-08
b'chr16'	2883000	5766000	1751	6.275491562118141e-09	3.3286026514471768e-09	1.1054615014654423e-08
b'chr16'	5766000	8649000	1653	8.43493167634593e-09	4.900089435208505e-09	1.5526932884865537e-08
b'chr16'	8649000	10000000	885	1.0776066699138382e-08	6.533422463208367e-09	1.9260602395378795e-08
b'chr17'	0	3010000	1750	1.7750076178383138e-08	1.1501988508913868e-08	2.8113104746988296e-08
b'chr17'	3010000	6020000	1649	9.874813333442705e-09	5.812579939333988e-09	1.7579521715848262e-08
b'chr17'	6020000	9030000	1729	1.0548557962067347e-08	6.4869033494258285e-09	1.7674042031515254e-08
b'chr17'	9030000	10000000	547	3.6472383236079545e-09	1.4826906269709677e-09	7.403948044689061e-09
b'chr18'	0	2926000	1750	9.45373102387085e-09	6.047579174409824e-09	1.695707474799538e-08
b'chr18'	2926000	5852000	1642	1.1716675568134378e-08	7.467754264449895e-09	1.9536464429019898e-08
b'chr18'	5852000	8778000	1711	6.3943960327969574e-09	3.4475071221259934e-09	1.117351948533324e-08
b'chr18'	8778000	10000000	722	9.004470229501057e-09	5.385689221315479e-09	1.5773386457029672e-08
b'chr19'	0	2908000	1752	1.6125075693103064e-08	9.809786246157692e-09	2.7062029435760415e-08
b'chr19'	2908000	5816000	1702	1.575281204809279e-08	9.93776869014432e-09	2.619781571007798e-08
b'chr19'	5816000	8724000	1669	1.0408356519577285e-08	6.346701906935766e-09	1.7533840589025188e-08
b'chr19'	8724000	10000000	796	9.501365147338179e-09	6.095213297877154e-09	1.7004708871462713e-08
b'chr20'	0	2945000	1743	7.687108446700339e-09	4.431775687789017e-09	1.3400587070248321e-08
b'chr20'	2945000	5890000	1690	1.1166238661467304e-08	7.0048227162975825e-09	1.9134863132855657e-08
b'chr20'	5890000	8835000	1751	6.493301218868185e-09	3.5464123081972208e-09	1.1272424671404467e-08
b'chr20'	8835000	10000000	696	6.786979635437448e-09	3.6921634987424035e-09	1.2550996699084933e-08
